Lake,Lat,Lon,PW,Chlorophyll,NDVI,Depth,PD,PWLG,DepthLG,PDLG,DepthLG10
AS_1261,9.45353317,125.5221878,139.2086377,0.562382567,0.633053711,378.6377,0.367656569,2.14677477,2.579369334,0.832286692,2.578223853
AS_1176,40.18836987,27.96644503,140.015045,21.63054598,0.447019772,18.535156,7.554025712,2.14926545,1.290816884,1.665042871,1.267996246
AS_1207,9.02075,98.751375,141.4952797,0.603793159,0.593007367,7.0214844,20.1517616,2.153800478,0.904254743,2.381851458,0.846428935
AS_1155,37.13651068,96.93342504,142.1219786,2.753804943,0.085546574,18.335938,7.751006717,2.155706332,1.286365245,1.675812014,1.263303132
NA_1241,49.542875,-92.593625,142.8888939,5.698107492,0.499152281,5,28.57777878,2.158027274,0.77815125,2.773274827,0.698970004
OC_1245,-38.08996504,147.3171625,144.8510074,3.31901208,0.470645154,7.6054688,19.04563824,2.163909433,0.934774534,2.314899854,0.881125989
AF_953,-27.570913,25.817671,146.6894048,0.8,0.327042158,47,3.121051166,2.16934934,1.681241237,1.290326035,1.672097858
EU_1202,45.99836777,9.269008787,148.4811336,0.682678053,0.64187866,143.39746,1.035451629,2.174586383,2.159559554,1.006958284,2.156541459
NA_1195,60.997125,-162.4550625,148.5774748,29.63918052,0.122199518,18.128906,8.195611737,2.174866197,1.281690133,1.696873637,1.258371597
NA_1180,58.16176615,-104.3803382,148.8699173,20.89409826,0.22743419,20,7.443495865,2.175714468,1.322219295,1.64550198,1.301029996
AS_957,32.39673821,116.8830613,149.3800691,4.798177153,0.257290691,6.126953,24.38080872,2.17719028,0.852903895,2.552679491,0.787244549
NA_946,50.38598972,-97.64318976,150.4869147,30.19357992,0.159088552,5,30.09738294,2.180375121,0.77815125,2.801993982,0.698970004
AS_1152,51.19583207,106.3982522,155.8901327,31.77968419,0.198425095,14,11.13500948,2.19559563,1.176091259,1.866858217,1.146128036
NA_834,29.475701,-101.1279775,159.5219726,3.765431751,0.301611074,26,6.135460485,2.205534488,1.431363764,1.540862318,1.414973348
NA_1095,34.07250256,-81.35956231,159.7484883,12.8943224,0.58763403,30,5.32494961,2.206146897,1.491361694,1.479283601,1.477121255
NA_1121,43.61429229,-71.34018376,161.5800619,1.831167286,0.5398875,26.269531,6.150854459,2.211067285,1.435677669,1.540086144,1.419452319
NA_920,42.92987717,-112.7387334,161.7536946,29.20590124,0.332273289,15.650391,10.33544111,2.211530856,1.221424436,1.810616187,1.194525192
EU_1080,63.7494671,30.99101796,163.0528891,12.43696128,0.31706386,6.495117,25.1039187,2.214983883,0.874778417,2.532051364,0.812586979
AS_1119,36.04216151,140.3730968,164.082152,2.002553809,0.372257583,3.1972656,51.31952503,2.217700122,0.622966452,3.559902969,0.504778715
AS_1063,51.47962951,136.5073797,165.007465,22.48330683,0.210192383,2,82.5037325,2.220127618,0.477121255,4.653172743,0.301029996
SA_1051,-22.01302938,-41.35465965,165.1814042,4.529218357,0.581168964,2.9570312,55.86055507,2.220582424,0.597369475,3.717267987,0.470855907
AS_921,30.83271362,117.0845934,166.1748377,8.882318384,0.27767197,3,55.39161257,2.22317091,0.602059991,3.692606953,0.477121255
AF_1059,6.437497248,2.448571914,166.2863801,4.753294972,0.395473108,21.638672,7.684685091,2.223460584,1.354850947,1.641110846,1.335230604
NA_1020,45.3504145,-66.0453075,167.152361,6.292303816,0.511083074,40.47168,4.130106806,2.22570297,1.617751629,1.375800172,1.607151233
NA_1102,51.30391751,-124.0980701,168.2550675,2.854604748,0.232697354,25.980469,6.476213632,2.22854168,1.431049495,1.55727785,1.414646987
SA_1101,-39.25599177,-72.09491465,168.4300234,17.3154813,0.616534052,93.93457,1.793056842,2.228990371,1.977424388,1.127219015,1.972825452
NA_1066,64.072375,-117.384125,168.751373,9.810729722,0.197859748,13.308594,12.67987986,2.229813296,1.155596961,1.929576981,1.124132176
OC_939,-42.71979048,146.1961881,168.8513344,0.545734874,0.55151654,42.691406,3.955159837,2.230068963,1.640396021,1.359469869,1.630340458
NA_1075,54.26429088,-94.92947861,169.333427,8.526685403,0.135653438,16.685547,10.14850919,2.231299884,1.247618497,1.788447262,1.222340449
AS_894,31.11388905,118.9669926,170.2777888,12.77483062,0.397082526,3,56.75926293,2.233701048,0.602059991,3.710097133,0.477121255
NA_1058,59.112375,-106.267375,170.4189268,16.96743093,0.280062215,4.8115234,35.4189126,2.234058772,0.764289991,2.923051196,0.682282602
AS_1019,46.92894592,87.43143639,171.4737029,13.18726091,0.096833165,8,21.43421286,2.236722887,0.954242509,2.343977412,0.903089987
NA_1037,46.96825,-79.16325,173.4765253,2.751069938,0.546319629,105.27344,1.647866027,2.241737004,2.026424739,1.106252288,2.022318815
AS_721,33.22143303,73.71434662,174.4631689,13.6,0.339212644,15,11.63087793,2.244185969,1.204119983,1.863756105,1.176091259
AS_858,34.073144,72.8953205,175.1884089,13.6,0.449019914,8.34668,20.9889931,2.245977334,0.970657374,2.313872427,0.921513764
EU_1021,61.98531394,30.94300522,176.9333106,16.73241951,0.281873925,8.999023,19.66139109,2.250257259,0.999957567,2.250352748,0.954195362
EU_1000,67.88742967,35.15093101,177.6175068,3.215173282,0.185086426,5.2939453,33.55106574,2.251924023,0.798922964,2.81869983,0.72377945
NA_1018,50.97975,-105.201375,177.8312936,18.34702439,0.251092305,20,8.89156468,2.252443518,1.322219295,1.703532483,1.301029996
AS_748,40.62929099,125.2726837,179.5260693,2.083211711,0.526871863,3.6269531,49.4977642,2.256539926,0.665295097,3.391787997,0.55954194
AS_868,31.57579384,119.8165966,182.4198222,61.30752563,0.345761406,0.99999994,182.4198331,2.263446268,0.301029983,7.519006075,-2.61E-08
AS_1005,54.55814724,77.97908147,186.5926645,20.21006573,0.143546652,0.99999994,186.5926757,2.273215852,0.301029983,7.551459931,-2.61E-08
OC_851,-38.17980094,143.4255924,187.5487125,0.584842024,0.298345517,35,5.358534643,2.275423571,1.556302501,1.46207024,1.544068044
AF_754,-17.46418681,48.53052739,189.1325847,0.333739101,0.503580848,11.618164,16.27904243,2.279056552,1.100996168,2.069994991,1.065137503
AS_917,31.47307824,118.8754989,189.5175662,32.79044113,0.264557876,3,63.17252207,2.279935025,0.602059991,3.786890107,0.477121255
AF_443,13.285,14.577625,189.5871044,11.17604278,0.39958642,4,47.3967761,2.280093512,0.698970004,3.262076338,0.602059991
SA_490,-7.2883465,-47.70377575,195.0865711,19.5,0.589785338,18.529297,10.52854683,2.292447852,1.29068661,1.776145994,1.267858943
NA_770,37.06759352,-111.2775281,197.373259,14.84268768,0.140891065,40,4.934331475,2.297483128,1.612783857,1.424544968,1.602059991
AS_907,43.29060059,116.6347509,197.6376348,24.37371216,0.19989962,2,98.8188174,2.298061535,0.477121255,4.816514697,0.301029996
AF_936,30.31123019,32.41159281,199.6829218,5.81197732,0.203127139,16.618164,12.01594363,2.302510415,1.245960648,1.847980045,1.220583041
NA_947,43.20313872,-75.90953563,199.9259271,29.10189932,0.294804795,10.814453,18.48691997,2.303035981,1.072413619,2.147525862,1.034004558
NA_817,35.324863,-84.8456225,206.1281369,24.50066714,0.650201901,16.250977,12.68404582,2.316239099,1.236813696,1.872746967,1.210879476
EU_846,67.5719945,32.0457355,206.9118674,3.853259353,0.240795975,11.897461,17.39126251,2.317879279,1.110504223,2.087231395,1.07545429
AS_809,53.8316797,72.95317522,206.9703503,9.950248243,0.103510726,0.99999994,206.9703627,2.318001423,0.301029983,7.700234385,-2.61E-08
EU_911,45.96552486,8.653270128,207.3418175,5.879250566,0.656786264,153.02344,1.354967693,2.318776448,2.187586819,1.059970022,2.184757961
AS_916,24.51956821,102.8863469,207.8793832,24.22711207,0.311283009,75,2.771725109,2.319895576,1.880813592,1.233453217,1.875061263
AF_865,-0.990063652,10.09392714,213.3714964,2.092403309,0.458639544,6.614258,32.25932469,2.33116704,0.881627588,2.64416299,0.820481131
NA_883,33.30881167,-80.05410965,214.5118219,24.78671584,0.6626298,2.3242188,92.29416004,2.333471098,0.521689601,4.472910889,0.36627701
NA_890,49.51624241,-121.8667126,215.1375555,3.473752423,0.512371356,32,6.723048609,2.334730235,1.51851394,1.537509913,1.505149978
NA_887,29.91053857,-92.75142203,215.8464254,13.0577044,0.334029084,2.0830078,103.6224758,2.336152267,0.488974623,4.777655435,0.318690896
AS_565,19.52951869,75.24266202,216.5661453,1.839610074,0.336265122,40,5.414153633,2.337591317,1.612783857,1.449413886,1.602059991
AS_827,66.67025,93.982,220.3454654,13.47654823,0.239474712,210,1.049264121,2.345070629,2.324282455,1.00894391,2.322219295
EU_832,61.87430351,29.98341047,220.5794312,16.02462694,0.249567675,12.795898,17.2382924,2.345529443,1.139749975,2.057933314,1.10707077
AS_798,39.14278815,33.66388299,223.084521,14.36085789,0.23594462,22,10.1402055,2.350411858,1.361727836,1.726051121,1.342422681
AS_864,54.9799011,78.58181191,224.1051484,17.49652595,0.107766771,2.7626953,81.11830081,2.352385428,0.575499051,4.087557441,0.441332989
AS_611,16.74034619,102.5346005,225.9652633,33.91508374,0.515588498,17,13.29207431,2.355959394,1.255272505,1.87685095,1.230448921
NA_764,46.687242,-75.76341675,226.4009754,4.348447401,0.392284678,48,4.716686988,2.356792323,1.69019608,1.394389888,1.681241237
AS_849,13.94475,121.01575,228.2917545,2.316953183,0.629627778,97.28711,2.346577614,2.360388437,1.992496565,1.184638648,1.988055302
AS_597,43.248491,127.1247058,229.5012797,1.44333762,0.322380583,31,7.403267087,2.362673341,1.505149978,1.56972619,1.491361694
AS_812,25.78870093,100.1952173,230.2550225,48.96331978,0.455727634,11,20.93227477,2.364091174,1.079181246,2.190634041,1.041392685
NA_824,30.25199575,-90.50146635,233.3470582,14.69491505,0.631197671,3.428711,68.05678816,2.369859506,0.646277341,3.666938876,0.535130881
AS_746,14.92020842,98.5288297,235.7747495,1.388036555,0.529645853,19.992188,11.79334396,2.374335386,1.322057707,1.795939294,1.300860327
AF_644,-27.0241085,28.1910875,236.5097191,0.803828816,0.201113242,47,5.032121683,2.375681386,1.681241237,1.413052055,1.672097858
SA_607,-3.330221459,-58.42274634,239.8210421,13.44867047,0.416080091,3,79.94034737,2.381694431,0.602059991,3.955908823,0.477121255
